Time,Open,High,Low,Close,peak_cftc_gap
9/1/2020,130.45,132.7,129.35,131.4,0
9/2/2020,130.25,132.5,128.6,131.3,0
9/3/2020,131,132.25,129.15,131.2,0
9/4/2020,131.8,135.45,131.75,134,0
9/8/2020,133.8,134.4,127.2,132.1,0
9/9/2020,131,132.05,127.6,128.85,0
9/10/2020,128,133.45,127.7,131.7,0
9/11/2020,130.5,132.55,129.3,132.45,0
9/14/2020,131.9,132.05,121.65,123.05,0
9/15/2020,122.5,123,115,121.8,0
9/16/2020,122,124.15,118.7,119.85,0
9/17/2020,119.5,119.5,116.15,118,0
9/18/2020,119.55,121.05,115.05,115.3,0
9/21/2020,115.05,115.15,112.7,113.85,0
9/22/2020,114.85,116.5,112.2,112.45,0
9/23/2020,112.7,114.4,110.95,112.25,0
9/24/2020,112.75,113.85,111.95,112.85,0
9/25/2020,113.35,115.85,112.6,115.2,0
9/28/2020,115.2,116.3,110.5,111.25,0
9/29/2020,111.15,112.25,110.2,111.4,0
9/30/2020,112.4,114.4,111.25,112.7,0
10/1/2020,112.7,113.35,108.55,109.2,0
10/2/2020,108.7,111.95,107.15,110.95,0
10/5/2020,110.8,111.75,108.75,109.4,0
10/6/2020,109.95,111.5,109.3,109.85,0
10/7/2020,110.25,113.05,108.45,111.8,0
10/8/2020,112.4,114.3,110.15,112.55,0
10/9/2020,112.65,114.7,112.55,113.8,0
10/12/2020,113.45,115.6,111,111.5,0
10/13/2020,111.75,113.55,111.15,112.6,0
10/14/2020,112.6,114.25,111.75,112.2,0
10/15/2020,112.05,113.8,109.25,112.1,0
10/16/2020,112.15,113.6,109.55,110,0
10/19/2020,109.15,111.4,108.5,108.95,0
10/20/2020,110.15,110.15,106.95,107.8,0
10/21/2020,108.2,109.6,106.2,107,0
10/22/2020,106.95,110.05,106.1,109.4,0
10/23/2020,109.15,109.7,107.5,108.4,0
10/26/2020,107.2,109.85,107.1,109.35,0
10/27/2020,109.4,110.8,108.8,109.55,0
10/28/2020,109.15,109.3,107.4,107.7,0
10/29/2020,107.7,107.8,105.7,107.2,0
10/30/2020,107.25,108.3,106.25,106.85,0
11/2/2020,106.3,107.3,105,105.35,0
11/3/2020,105.35,108.75,105.35,106.05,0
11/4/2020,106.5,106.65,104.85,105.65,0
11/5/2020,106.75,109.25,106.15,108.45,0
11/6/2020,108.9,110.45,108.45,109.45,0
11/9/2020,110.15,112,109.1,109.55,0
11/10/2020,110.8,113.25,110.4,111.95,0
11/11/2020,112.2,113.5,111.65,112.95,0
11/12/2020,112.2,113.5,111.65,112.95,0
11/13/2020,113.2,113.4,111.55,112.2,0
11/16/2020,113.05,119.3,112.8,118.75,0
11/17/2020,119.7,124.3,119.7,122.85,0
11/18/2020,122.5,124.4,121.15,123.2,0
11/19/2020,123.55,124.25,116.75,118.05,0
11/20/2020,117.8,120,116.1,117.05,0
11/23/2020,117.8,120,116.1,117.05,0
11/24/2020,117,119.15,116.05,117.15,0
11/25/2020,119.7,124.8,119.65,124.2,0
11/27/2020,123.4,124.45,120.7,123.3,0
11/30/2020,123.45,123.9,117.85,118.45,0
12/1/2020,118.5,119.55,117.2,119.1,0
12/2/2020,119.65,121,118.6,120.05,0
12/3/2020,119.8,120.9,117,117.55,0
12/4/2020,116.8,119.55,116.45,119.1,0
12/7/2020,119.25,120.35,118.35,119.25,0
12/8/2020,119.6,119.6,116.5,117.05,0
12/9/2020,116.9,121.8,116.9,121.05,0
12/10/2020,123,123.55,120.2,121.6,0
12/11/2020,120.85,126.9,120.65,126.15,0
12/14/2020,125.4,127.4,124.3,124.65,0
12/15/2020,125.25,128.6,125.25,126.6,0
12/16/2020,127.25,128,125.05,126.6,0
12/17/2020,126.35,127.8,123.5,125.25,0
12/18/2020,126,127.3,122.4,126.2,0
12/21/2020,125.45,128.5,124.85,126.15,0
12/22/2020,126.1,127.8,125.9,126.45,0
12/23/2020,126.65,129.5,126.55,127.85,0
12/24/2020,127.4,128.35,123.45,125.3,0
12/28/2020,125.65,127.8,125.15,127.3,0
12/29/2020,127.25,128.6,126.55,127.3,0
12/30/2020,127.9,130.9,127.6,130.15,0
12/31/2020,127.9,130.9,127.6,130.15,0
1/4/2021,130,131.3,127.25,128.1,0
1/5/2021,128.15,128.5,124.3,127.1,0
1/6/2021,127,127.55,122.65,122.95,0
1/7/2021,123.1,124.7,121.45,123.1,0
1/8/2021,122.25,126.05,121.25,125.75,0
1/11/2021,125,125.25,120.85,123.55,0
1/12/2021,123.35,124.7,122.15,123.45,0
1/13/2021,123.8,128,123.5,127.25,0
1/14/2021,127.15,130,125.3,129.4,0
1/15/2021,129.3,133.75,128.9,130.25,0
1/19/2021,128.75,130.8,126.8,129.25,0
1/20/2021,128.7,129.1,125.5,127.3,0
1/21/2021,128.3,129.3,126.9,128.5,0
1/22/2021,128,128.25,125,126.2,0
1/25/2021,125.05,127,124.35,125.4,0
1/26/2021,125.6,127.95,125.4,126.6,0
1/27/2021,126.6,128.15,125.2,127.55,0
1/28/2021,127.55,128.8,125.65,126.1,0
1/29/2021,126.3,126.8,124.2,125,0
2/1/2021,124.6,129.3,124.5,127.4,0
2/2/2021,127.5,128.1,124.8,125.55,0
2/3/2021,125.2,126.9,124.9,126.1,0
2/4/2021,126.55,126.8,122.4,126.15,0
2/5/2021,126.6,127.85,125.9,126.65,0
2/8/2021,126.15,126.85,125.4,126.25,0
2/9/2021,126.15,126.35,124.6,125,0
2/10/2021,125.2,125.55,122.25,123.15,0
2/11/2021,122.75,123.6,122.4,123.05,0
2/12/2021,122.55,124.3,122.1,123.05,0
2/16/2021,123.35,126.85,123,126.2,0
2/17/2021,126.65,127.65,125.15,127.4,0
2/18/2021,127.4,129.65,127.4,129.3,0
2/19/2021,128.9,130.35,128.35,129.15,0
2/22/2021,128.9,136.25,126.75,134.95,0
2/23/2021,134.9,138.65,134.2,138.3,0
2/24/2021,137.05,139.6,136.15,137.25,0
2/25/2021,136.8,140.45,136.65,140.05,0
2/26/2021,138,139.65,135.55,137.5,0
3/1/2021,137.7,139.8,133.6,135.8,0
3/2/2021,134.5,135.45,132.65,133.85,0
3/3/2021,133.85,134.65,132.05,132.8,0
3/4/2021,133.8,133.9,130.5,132.15,0
3/5/2021,131.6,131.65,128.1,128.85,0
3/8/2021,128.25,130.95,128,129.15,0
3/9/2021,128.4,132,126.6,130.4,0
3/10/2021,131.65,132.4,129.2,130.85,0
3/11/2021,131.7,133.2,131.25,132.35,0
3/12/2021,132.35,133.45,131,133,0
3/15/2021,133.1,135.1,130.2,132.1,0
3/16/2021,132,135.6,131.4,134.5,0
3/17/2021,135,135.65,132.3,133.55,0
3/18/2021,133.75,135.45,129,129.95,0
3/19/2021,132.1,133.4,130.3,131.05,0
3/22/2021,131.05,132.45,128.95,132.1,0
3/23/2021,132.1,132.6,129.5,129.65,0
3/24/2021,130.8,130.8,128.55,128.55,0
